# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Overall Pi	AMOVA Fst	Fisher's P	Odds Ratio	CI Low	CI High	LOD	Corrected AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value	Window SNP Count
49	G	A	Chr1	53520	47	0.24542	0.00223	0.752317359	0.76190	0.21184	2.74029	0.11810	0.00223	0.00000	0.00000	0
74	G	A	Chr1	73377	16	0.04937	0.02564	0.246835443	3.15385	0.31453	31.62369	0.49884	0.02564	0.00000	0.00000	0
140	G	A	Chr1	149998	19	0.25823	0.04412	0.114888069	0.27928	0.06949	1.12249	0.55396	0.04412	0.00000	0.00000	0
209	G	A	Chr1	264072	37	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
350	G	A	Chr1	493142	26	0.02564	0.01367	0.487179487	0.46341	0.04036	5.32069	0.33403	0.01367	0.00000	0.00000	0
362	G	A	Chr1	505904	29	0.30854	0.00923	0.409705637	1.64516	0.52514	5.15402	0.21621	0.00923	0.00000	0.00000	0
370	G	A	Chr1	510235	35	0.09620	0.00000	1.000000000	1.00000	0.13387	7.47017	0.00000	0.00000	0.00000	0.00000	0
428	G	A	Chr1	579099	13	0.07310	0.03896	0.120253165	0.23171	0.02478	2.16641	0.63506	0.03896	0.00000	0.00000	0
435	G	A	Chr1	584260	56	0.50632	0.00069	1.000000000	0.90000	0.36594	2.21350	0.04576	0.00069	0.00000	0.00000	0
458	G	A	Chr1	605028	71	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
461	G	A	Chr1	610983	69	0.07310	0.00433	0.620253165	2.05263	0.17860	23.59047	0.31231	0.00433	0.00000	0.00000	0
464	G	A	Chr1	611267	20	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
465	G	A	Chr1	611439	28	0.02564	0.01234	1.000000000	0.51282	0.04467	5.88764	0.29003	0.01234	0.00000	0.00000	0
476	G	A	Chr1	621068	12	0.02632	0.01333	0.500000000	2.05263	0.17860	23.59047	0.31231	0.01333	0.00000	0.00000	0
517	G	A	Chr1	665621	11	0.04937	0.00000	1.000000000	1.00000	0.06038	16.56298	0.00000	0.00000	0.00000	0.00000	0
520	G	A	Chr1	667801	70	0.05331	0.02632	0.493520918	3.00000	0.29819	30.18199	0.47712	0.02632	0.00000	0.00000	0
569	G	A	Chr1	744781	77	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
587	G	A	Chr1	768143	71	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
672	G	A	Chr1	889506	13	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
689	G	A	Chr1	898187	46	0.04937	0.00000	1.000000000	1.00000	0.06038	16.56298	0.00000	0.00000	0.00000	0.00000	0
849	G	A	Chr1	1066215	65	0.07493	0.03800	0.240759241	0.24359	0.02603	2.27995	0.61334	0.03800	0.00000	0.00000	0
862	G	A	Chr1	1090993	32	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
863	G	A	Chr1	1091515	5	0.44123	0.02403	0.226335371	0.51111	0.19431	1.34442	0.29148	0.02403	0.00000	0.00000	0
883	G	A	Chr1	1111165	48	0.02564	0.01367	0.487179487	0.46341	0.04036	5.32069	0.33403	0.01367	0.00000	0.00000	0
893	G	A	Chr1	1121565	15	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
