# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Overall Pi	AMOVA Fst	Fisher's P	Odds Ratio	CI Low	CI High	LOD	Corrected AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value	Window SNP Count
49	G	K	Chr1	53520	47	0.25657	0.00071	1.000000000	0.86022	0.23786	3.11101	0.06539	0.00071	0.00000	0.00000	0
140	G	K	Chr1	149998	19	0.35964	0.00020	1.000000000	1.06897	0.37273	3.06576	0.02896	0.00020	0.00000	0.00000	0
244	G	K	Chr1	307729	57	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
333	G	K	Chr1	466653	66	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
350	G	K	Chr1	493142	26	0.02564	0.01367	0.487179487	0.46341	0.04036	5.32069	0.33403	0.01367	0.00000	0.00000	0
362	G	K	Chr1	505904	29	0.33892	0.02334	0.186737234	2.14943	0.70745	6.53053	0.33232	0.02334	0.00000	0.00000	0
370	G	K	Chr1	510235	35	0.09620	0.00000	1.000000000	1.00000	0.13387	7.47017	0.00000	0.00000	0.00000	0.00000	0
428	G	K	Chr1	579099	13	0.07310	0.03896	0.120253165	0.23171	0.02478	2.16641	0.63506	0.03896	0.00000	0.00000	0
435	G	K	Chr1	584260	56	0.48421	0.04638	0.066795863	2.45455	0.95258	6.32468	0.38997	0.04638	0.00000	0.00000	0
438	G	K	Chr1	586653	71	0.05193	0.02432	0.494736842	2.84615	0.28323	28.60119	0.45426	0.02432	0.00000	0.00000	0
461	G	K	Chr1	610983	69	0.16550	0.05401	0.053632213	7.31250	0.83656	63.91987	0.86407	0.05401	0.00000	0.00000	0
464	G	K	Chr1	611267	20	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
465	G	K	Chr1	611439	28	0.02632	0.01200	1.000000000	0.54054	0.04703	6.21266	0.26717	0.01200	0.00000	0.00000	0
517	G	K	Chr1	665621	11	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
528	G	K	Chr1	680785	43	0.02632	0.01200	1.000000000	1.85000	0.16096	21.26284	0.26717	0.01200	0.00000	0.00000	0
587	G	K	Chr1	768143	71	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
689	G	K	Chr1	898187	46	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
849	G	K	Chr1	1066215	65	0.07310	0.03896	0.120253165	0.23171	0.02478	2.16641	0.63506	0.03896	0.00000	0.00000	0
862	G	K	Chr1	1090993	32	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
863	G	K	Chr1	1091515	5	0.48518	0.00003	1.000000000	1.02222	0.41256	2.53283	0.00955	0.00003	0.00000	0.00000	0
883	G	K	Chr1	1111165	48	0.02564	0.01367	0.487179487	0.46341	0.04036	5.32069	0.33403	0.01367	0.00000	0.00000	0
1096	G	K	Chr1	1358885	29	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
1138	G	K	Chr1	1401199	20	0.04937	0.02564	0.246835443	3.15385	0.31453	31.62369	0.49884	0.02564	0.00000	0.00000	0
1262	G	K	Chr1	1523315	60	0.05062	0.00002	1.000000000	1.05405	0.06358	17.47484	0.02286	0.00002	0.00000	0.00000	0
1366	G	K	Chr1	1590634	6	0.02500	0.01266	0.500000000	0.48780	0.04253	5.59493	0.31175	0.01266	0.00000	0.00000	0
1405	G	K	Chr1	1618831	57	0.21071	0.00000	1.000000000	1.00000	0.22868	4.37293	0.00000	0.00000	0.00000	0.00000	0
1429	G	K	Chr1	1634995	37	0.02500	0.01266	0.500000000	2.05000	0.17873	23.51269	0.31175	0.01266	0.00000	0.00000	0
