TranscriptName	GeneGo	length
XM_031574018.1	 GO:0005794;GO:0000139;GO:0016021;GO:0016791;GO:0050650;GO:0006024;GO:0010909;	42
XM_031576633.1	 GO:0005813;GO:0005737;GO:0035098;GO:0005654;GO:0005634;GO:0035861;GO:0003682;GO:0003677;GO:0046872;GO:0035064;GO:0006974;GO:0006325;GO:0061086;GO:0061087;GO:0006355;	31
XM_012840643.2	 GO:0048512;GO:0007399;	31
XM_031559271.1	 GO:0030132;GO:0030130;GO:0071439;GO:0030125;GO:0005886;GO:0099631;GO:0005819;GO:0030672;GO:0032050;GO:0005198;GO:0007049;GO:0051301;GO:0048268;GO:0072583;GO:0006886;	30
XM_031559272.1	 GO:0030118;GO:0030132;GO:0030130;GO:0071439;GO:0030125;GO:0005905;GO:0030136;GO:0031410;GO:0098978;GO:0005886;GO:0098843;GO:0099631;GO:0098835;GO:0005819;GO:0030672;GO:0032050;GO:0051020;GO:0042277;GO:0044877;GO:0005198;GO:0007049;GO:0051301;GO:0048268;GO:0072583;GO:0006886;	30
XM_031558240.1	 GO:0005762;GO:0005759;GO:0005739;GO:0008168;GO:0016428;GO:0000049;GO:0070129;GO:0001510;GO:0031167;GO:0002127;	15719
XM_031573750.1	 GO:0005887;GO:0005886;GO:0009952;GO:0007155;GO:0001708;GO:0021987;GO:0010172;GO:0060059;GO:0002088;GO:0007520;GO:0043410;GO:0051149;GO:0045663;GO:2000179;GO:0045666;GO:0048643;GO:0051057;GO:0045944;GO:0043393;GO:0014816;GO:0007224;	3760
XR_004163595.1	-	6697
XM_031579819.1	 GO:0005737;GO:0005615;GO:0016021;GO:0005886;GO:0030246;GO:0038023;GO:0009887;GO:0021549;GO:0006954;GO:0042552;GO:0043473;GO:0040014;GO:0006979;GO:0009888;	10298
XM_012832749.2	 GO:0005912;GO:0033391;GO:0061830;GO:0005737;GO:0036464;GO:0010494;GO:0005829;GO:0000792;GO:0005739;GO:0005730;GO:0005634;GO:0001520;GO:0000932;GO:0048471;GO:0016442;GO:0097227;GO:0005524;GO:0003729;GO:0019904;GO:0003723;GO:0003724;GO:0033962;GO:0045665;GO:0048515;GO:0019827;GO:0034063;GO:0019074;	4224
