id_snp	chromosome	position	RDA1	BF.dB.
1582:14:+	Chr1	1790873	-0.150741226609784	-2.54188684
6032:68:+	Chr1	9143069	0.0998719397051042	-2.10932217
6579:30:-	Chr1	9745682	-0.106090834081905	-2.35725121
9446:22:-	Chr1	13013854	0.107096429510689	3.99891043
17977:15:-	Chr2	1480163	-0.0989772109212657	3.25538813
20844:15:+	Chr2	4146312	-0.113884671673134	-2.29556396
23519:40:+	Chr2	7410193	0.118750441299791	-1.36326163
28724:42:+	Chr2	13924384	-0.108917851267612	-2.42820006
32064:36:+	Chr2	17847920	-0.114225960119456	-3.78892704
37802:46:-	Chr3	4426273	0.0989720042341915	1.25035171
38820:21:-	Chr3	5362208	-0.108621110208772	-1.80875519
39875:46:-	Chr3	6496089	0.101494344515206	-3.01577506
44012:18:-	Chr3	10614257	-0.10692403449145	-3.97192251
45941:27:-	Chr3	12535482	-0.113769251157563	-2.88853196
51240:32:+	Chr4	1060151	0.127666543622726	-0.17249939
55948:43:-	Chr4	6520067	0.139253621000678	-1.55517569
56669:19:+	Chr4	7243922	-0.109572599844081	-2.55850446
57112:48:+	Chr4	7888974	0.105627220563754	-4.28939541
57230:19:-	Chr4	8053070	-0.144034181213306	0.82691592
59054:45:-	Chr4	10144836	-0.118243713514437	-2.75759459
59405:74:-	Chr4	10574631	0.188423741663759	4.87701449
60292:65:-	Chr4	11479664	-0.124482989262703	6.26061492
60485:7:+	Chr4	11689023	-0.167189458051992	4.26797135
62607:38:-	Chr4	13761246	0.11066448236518	-3.15565957
63169:63:-	Chr4	14353882	-0.190659879040789	8.67736485
63184:43:-	Chr4	14361688	-0.165901659820195	5.17149607
63522:31:+	Chr4	14712430	0.115288175511165	-2.20686623
66551:56:+	Chr5	26562	-0.0988025407991107	-3.88485559
67781:41:-	Chr5	1576680	0.279785568854268	14.54484452
72599:6:+	Chr5	7784498	-0.0987851418895512	-3.81861909
