id_snp	chromosome	position	COVARIABLE	MRK	M_Pearson	SD_Pearson	BF.dB.	Beta_is	SD_Beta_is	eBPis
1582:14:+	Chr1	1790873	1	23	-0.38413407	0.23187421	-2.54188684	-0.0054945	0.00393171	0.78976585
6032:68:+	Chr1	9143069	1	109	0.36720217	0.21853292	-2.10932217	0.01478012	0.0094798	0.92456748
6579:30:-	Chr1	9745682	1	123	-0.2820839	0.21616819	-2.35725121	-0.00726597	0.00577915	0.68057242
9446:22:-	Chr1	13013854	1	183	0.38561741	0.24861904	3.99891043	0.00552893	0.00408251	0.75537279
16371:63:-	Chr1	20980422	1	300	-0.26226802	0.24370905	-4.06941183	-0.00313306	0.00333087	0.45979187
17977:15:-	Chr2	1480163	1	329	-0.31936045	0.23696425	3.25538813	-0.00497123	0.00400656	0.66818958
19775:18:-	Chr2	3223982	1	371	0.16082336	0.2882802	-3.40869714	0.0025248	0.00450948	0.23991181
20844:15:+	Chr2	4146312	1	383	-0.42695218	0.20383267	-2.29556396	-0.00941559	0.00539782	1.09097353
22559:24:-	Chr2	6094013	1	413	0.38144014	0.2296739	-3.15718787	0.01078126	0.00698587	0.91094713
23519:40:+	Chr2	7410193	1	441	0.35166836	0.22712991	-1.36326163	0.01962409	0.01335162	0.84888073
24179:16:+	Chr2	8200883	1	453	0.31745382	0.24771612	-1.91513986	0.01576492	0.01249357	0.68401875
28724:42:+	Chr2	13924384	1	533	-0.36979643	0.23397412	-2.42820006	-0.00994359	0.00678001	0.84623572
28730:46:-	Chr2	13942678	1	534	0.23783075	0.21800982	-3.71647324	0.01449473	0.01364557	0.54040941
29356:64:+	Chr2	14681899	1	549	-0.28733362	0.24049768	0.65665751	-0.00369419	0.00355905	0.52391801
32064:36:+	Chr2	17847920	1	609	-0.44515318	0.2183125	-3.78892704	-0.00660199	0.00422649	0.92710467
37544:79:-	Chr3	4095197	1	715	0.28759053	0.25825577	-3.20028623	0.00402231	0.00402198	0.49857012
37641:66:-	Chr3	4242029	1	718	0.31737468	0.24498068	-3.18856114	0.0070389	0.00566077	0.67019384
37802:46:-	Chr3	4426273	1	723	0.32138759	0.26447445	1.25035171	0.00828928	0.00682084	0.64925456
38820:21:-	Chr3	5362208	1	754	-0.39687575	0.21344314	-1.80875519	-0.00917775	0.0056595	0.97931699
39875:46:-	Chr3	6496089	1	775	0.39270663	0.23527188	-3.01577506	0.00725728	0.00479251	0.88622249
44012:18:-	Chr3	10614257	1	848	-0.33810153	0.23483735	-3.97192251	-0.00434282	0.00347992	0.67357511
44114:74:+	Chr3	10812530	1	849	-0.21948032	0.25729747	-2.78812449	-0.00838838	0.01068932	0.36391021
45941:27:-	Chr3	12535482	1	896	-0.31437838	0.19647934	-2.88853196	-0.01747743	0.01105254	0.9438255
46089:68:+	Chr3	12735240	1	901	0.35444597	0.22010056	-0.67743612	0.02211603	0.01415922	0.92701816
51240:32:+	Chr4	1060151	1	974	0.38980892	0.22379584	-0.17249939	0.01895487	0.01156237	0.99508264
55948:43:-	Chr4	6520067	1	1070	0.3733871	0.20301925	-1.55517569	0.01388377	0.00830559	1.02410921
56669:19:+	Chr4	7243922	1	1093	-0.33544108	0.24227075	-2.55850446	-0.01828465	0.01441365	0.68910192
57112:48:+	Chr4	7888974	1	1106	0.24464308	0.22815011	-4.28939541	0.01581657	0.01458342	0.5557721
57230:19:-	Chr4	8053070	1	1107	-0.34672279	0.17673094	0.82691592	-0.02586539	0.01443488	1.13576112
59054:45:-	Chr4	10144836	1	1144	-0.35304259	0.21466284	-2.75759459	-0.02058115	0.01367213	0.87864454
59405:74:-	Chr4	10574631	1	1154	0.3916605	0.14590185	4.87701449	0.02015452	0.00845795	1.76506458
60292:65:-	Chr4	11479664	1	1168	-0.33411103	0.20225847	6.26061492	-0.0225097	0.01486302	0.88637414
60485:7:+	Chr4	11689023	1	1176	-0.44646002	0.19384537	4.26797135	-0.02951697	0.01468157	1.3528058
60942:67:-	Chr4	12196046	1	1193	0.14058842	0.25477426	-1.22084016	0.00173601	0.00390835	0.18249264
61456:59:+	Chr4	12809235	1	1205	0.2437025	0.23698245	-2.57809269	0.01288849	0.01204252	0.54590654
62607:38:-	Chr4	13761246	1	1218	0.32239238	0.23422104	-3.15565957	0.01918869	0.01387593	0.77805752
63169:63:-	Chr4	14353882	1	1231	-0.55483136	0.18191197	8.67736485	-0.02725944	0.01136546	1.78344264
63184:43:-	Chr4	14361688	1	1233	-0.48389843	0.19713802	5.17149607	-0.02252142	0.0103792	1.52262724
63522:31:+	Chr4	14712430	1	1242	0.33587184	0.23908423	-2.20686623	0.02091559	0.01480191	0.80231765
66551:56:+	Chr5	26562	1	1296	-0.31982368	0.22664937	-3.88485559	-0.01169071	0.00873469	0.74290161
67781:41:-	Chr5	1576680	1	1316	0.41743578	0.1425019	14.54484452	0.03873704	0.01370092	2.32847747
72599:6:+	Chr5	7784498	1	1396	-0.35374568	0.21461455	-3.81861909	-0.00990175	0.00655088	0.8838663
73262:45:-	Chr5	8461848	1	1410	0.37587767	0.23914173	-3.11421877	0.00654619	0.00474058	0.77646661
